epoc_time,date_time,distance,velocity
1456267838452,2016-02-23T22:50:38.452Z,3.93291864217,0
1456267838935,2016-02-23T22:50:38.935Z,2.10934976781,0.24
1456267839136,2016-02-23T22:50:39.136Z,4.88279627936,0.24
1456267839464,2016-02-23T22:50:39.464Z,3.77198158101,0.24
1456267839932,2016-02-23T22:50:39.932Z,2.10934976781,0.13
1456267840152,2016-02-23T22:50:40.152Z,5.20400840738,0.24
1456267840456,2016-02-23T22:50:40.456Z,3.93291864217,0.24
1456267840928,2016-02-23T22:50:40.928Z,2.10934976781,0
1456267841120,2016-02-23T22:50:41.120Z,4.88279627936,0.25
1456267841468,2016-02-23T22:50:41.468Z,3.93291864217,0
1456267841931,2016-02-23T22:50:41.931Z,2.10934976781,0
1456267842142,2016-02-23T22:50:42.142Z,4.88279627936,0.23
1456267842448,2016-02-23T22:50:42.448Z,3.93291864217,0
1456267842935,2016-02-23T22:50:42.935Z,2.10934976781,0
1456267843135,2016-02-23T22:50:43.135Z,4.88279627936,0.24
1456267843459,2016-02-23T22:50:43.459Z,1.91542910025,0.24
1456267843933,2016-02-23T22:50:43.933Z,2.10934976781,0
1456267844136,2016-02-23T22:50:44.136Z,5.20849160809,0.24
1456267844457,2016-02-23T22:50:44.457Z,1.91542910025,0.24
1456267844931,2016-02-23T22:50:44.931Z,2.10934976781,0
1456267845158,2016-02-23T22:50:45.158Z,5.20400840738,0.23
1456267845467,2016-02-23T22:50:45.467Z,2.21559757999,0.24
1456267845938,2016-02-23T22:50:45.938Z,2.10934976781,0
1456267846128,2016-02-23T22:50:46.128Z,5.20400840738,0.25
1456267846467,2016-02-23T22:50:46.467Z,1.91542910025,0.24
1456267846936,2016-02-23T22:50:46.936Z,2.10934976781,0
1456267847117,2016-02-23T22:50:47.117Z,5.52004961992,0.24
1456267847454,2016-02-23T22:50:47.454Z,1.50967696403,0.24
1456267847930,2016-02-23T22:50:47.930Z,1.6399269622,0.24
1456267848143,2016-02-23T22:50:48.143Z,5.52004961992,0.23
1456267848452,2016-02-23T22:50:48.452Z,4.5932120729,0.24
1456267848932,2016-02-23T22:50:48.932Z,2.31064937741,0.24
1456267849152,2016-02-23T22:50:49.152Z,5.97586410528,0.24
1456267849455,2016-02-23T22:50:49.455Z,3.93291864217,0.24
1456267849907,2016-02-23T22:50:49.907Z,2.31064937741,0.25
1456267850162,2016-02-23T22:50:50.162Z,5.20400840738,0.24
1456267850461,2016-02-23T22:50:50.461Z,1.50967696403,0.24
1456267850921,2016-02-23T22:50:50.921Z,2.31064937741,0.07
1456267851137,2016-02-23T22:50:51.137Z,5.20400840738,0.25
1456267851469,2016-02-23T22:50:51.469Z,3.93291864217,0.24
1456267851916,2016-02-23T22:50:51.916Z,2.31064937741,0
1456267852136,2016-02-23T22:50:52.136Z,5.20400840738,0.24
1456267852463,2016-02-23T22:50:52.463Z,3.93291864217,0.24
1456267852912,2016-02-23T22:50:52.912Z,2.31064937741,0
1456267853128,2016-02-23T22:50:53.128Z,5.20400840738,0.24
1456267853468,2016-02-23T22:50:53.468Z,1.91542910025,0.24
1456267853937,2016-02-23T22:50:53.937Z,2.31064937741,0
1456267854148,2016-02-23T22:50:54.148Z,5.20400840738,0.24
1456267854469,2016-02-23T22:50:54.469Z,3.93291864217,0.24
1456267854908,2016-02-23T22:50:54.908Z,2.31064937741,0
1456267855128,2016-02-23T22:50:55.128Z,5.20400840738,0.04
1456267855473,2016-02-23T22:50:55.473Z,3.93291864217,0.24
1456267855911,2016-02-23T22:50:55.911Z,2.31064937741,0
1456267856125,2016-02-23T22:50:56.125Z,4.49793770611,0.24
1456267856457,2016-02-23T22:50:56.457Z,3.93291864217,0.24
1456267856932,2016-02-23T22:50:56.932Z,2.31064937741,0
1456267857156,2016-02-23T22:50:57.156Z,4.88279627936,0.23
1456267857466,2016-02-23T22:50:57.466Z,3.93291864217,0
1456267857899,2016-02-23T22:50:57.899Z,2.31064937741,0
1456267858140,2016-02-23T22:50:58.140Z,3.79225311814,0.24
1456267858440,2016-02-23T22:50:58.440Z,3.93291864217,0
1456267858892,2016-02-23T22:50:58.892Z,2.31064937741,0
1456267859130,2016-02-23T22:50:59.130Z,4.14959618832,0.24
1456267859448,2016-02-23T22:50:59.448Z,3.93291864217,0
1456267859929,2016-02-23T22:50:59.929Z,2.31064937741,0
1456267860154,2016-02-23T22:51:00.154Z,3.79225311814,0.23
1456267860453,2016-02-23T22:51:00.453Z,3.93291864217,0
1456267860935,2016-02-23T22:51:00.935Z,2.10934976781,0.24
1456267861129,2016-02-23T22:51:01.129Z,3.79225311814,0.25
1456267861463,2016-02-23T22:51:01.463Z,3.93291864217,0
1456267861916,2016-02-23T22:51:01.916Z,2.10934976781,0.24
1456267862141,2016-02-23T22:51:02.141Z,3.79225311814,0.24
1456267862434,2016-02-23T22:51:02.434Z,3.93291864217,0
1456267862932,2016-02-23T22:51:02.932Z,2.0148479696,0.24
1456267863146,2016-02-23T22:51:03.146Z,3.79225311814,0.02
1456267863454,2016-02-23T22:51:03.454Z,2.19513296682,0.24
1456267863887,2016-02-23T22:51:03.887Z,2.0148479696,0.25
1456267864128,2016-02-23T22:51:04.128Z,4.69152768432,0.24
1456267864433,2016-02-23T22:51:04.433Z,2.19513296682,0.25
1456267864893,2016-02-23T22:51:04.893Z,2.0148479696,0.04
1456267865146,2016-02-23T22:51:05.146Z,3.79225311814,0.24
1456267865443,2016-02-23T22:51:05.443Z,3.93291864217,0.24
1456267865931,2016-02-23T22:51:05.931Z,2.0148479696,0
1456267866137,2016-02-23T22:51:06.137Z,4.88279627936,0.24
1456267866453,2016-02-23T22:51:06.453Z,2.19513296682,0.24
1456267866911,2016-02-23T22:51:06.911Z,2.0148479696,0
1456267867132,2016-02-23T22:51:07.132Z,4.88279627936,0.24
